"","Year","TempDiff","AbsoluteTemp","FahrenheitAbs"
"1",1856,-0.379,4.621,40.3178
"2",1857,-0.462,4.538,40.1684
"3",1858,-0.416,4.584,40.2512
"4",1859,-0.225,4.775,40.595
"5",1860,-0.372,4.628,40.3304
"6",1861,-0.404,4.596,40.2728
"7",1862,-0.527,4.473,40.0514
"8",1863,-0.273,4.727,40.5086
"9",1864,-0.474,4.526,40.1468
"10",1865,-0.267,4.733,40.5194
"11",1866,-0.223,4.777,40.5986
"12",1867,-0.291,4.709,40.4762
"13",1868,-0.225,4.775,40.595
"14",1869,-0.305,4.695,40.451
"15",1870,-0.296,4.704,40.4672
"16",1871,-0.351,4.649,40.3682
"17",1872,-0.266,4.734,40.5212
"18",1873,-0.327,4.673,40.4114
"19",1874,-0.376,4.624,40.3232
"20",1875,-0.424,4.576,40.2368
"21",1876,-0.452,4.548,40.1864
"22",1877,-0.211,4.789,40.6202
"23",1878,-0.057,4.943,40.8974
"24",1879,-0.287,4.713,40.4834
"25",1880,-0.296,4.704,40.4672
"26",1881,-0.246,4.754,40.5572
"27",1882,-0.262,4.738,40.5284
"28",1883,-0.318,4.682,40.4276
"29",1884,-0.349,4.651,40.3718
"30",1885,-0.35,4.65,40.37
"31",1886,-0.254,4.746,40.5428
"32",1887,-0.343,4.657,40.3826
"33",1888,-0.311,4.689,40.4402
"34",1889,-0.2,4.8,40.64
"35",1890,-0.413,4.587,40.2566
"36",1891,-0.353,4.647,40.3646
"37",1892,-0.407,4.593,40.2674
"38",1893,-0.449,4.551,40.1918
"39",1894,-0.414,4.586,40.2548
"40",1895,-0.362,4.638,40.3484
"41",1896,-0.199,4.801,40.6418
"42",1897,-0.186,4.814,40.6652
"43",1898,-0.339,4.661,40.3898
"44",1899,-0.25,4.75,40.55
"45",1900,-0.192,4.808,40.6544
"46",1902,-0.349,4.651,40.3718
"47",1903,-0.445,4.555,40.199
"48",1904,-0.443,4.557,40.2026
"49",1905,-0.371,4.629,40.3322
"50",1906,-0.292,4.708,40.4744
"51",1907,-0.505,4.495,40.091
"52",1908,-0.477,4.523,40.1414
"53",1909,-0.447,4.553,40.1954
"54",1910,-0.442,4.558,40.2044
"55",1911,-0.465,4.535,40.163
"56",1912,-0.406,4.594,40.2692
"57",1913,-0.393,4.607,40.2926
"58",1914,-0.248,4.752,40.5536
"59",1915,-0.159,4.841,40.7138
"60",1916,-0.373,4.627,40.3286
"61",1917,-0.495,4.505,40.109
"62",1918,-0.41,4.59,40.262
"63",1919,-0.292,4.708,40.4744
"64",1920,-0.293,4.707,40.4726
"65",1921,-0.217,4.783,40.6094
"66",1922,-0.323,4.677,40.4186
"67",1923,-0.299,4.701,40.4618
"68",1924,-0.347,4.653,40.3754
"69",1925,-0.246,4.754,40.5572
"70",1926,-0.116,4.884,40.7912
"71",1927,-0.218,4.782,40.6076
"72",1928,-0.227,4.773,40.5914
"73",1929,-0.361,4.639,40.3502
"74",1930,-0.152,4.848,40.7264
"75",1931,-0.099,4.901,40.8218
"76",1932,-0.137,4.863,40.7534
"77",1933,-0.239,4.761,40.5698
"78",1934,-0.139,4.861,40.7498
"79",1935,-0.172,4.828,40.6904
"80",1936,-0.121,4.879,40.7822
"81",1937,-0.024,4.976,40.9568
"82",1938,0.076,5.076,41.1368
"83",1939,-0.038,4.962,40.9316
"84",1940,-0.083,4.917,40.8506
"85",1941,0.028,5.028,41.0504
"86",1942,-0.02,4.98,40.964
"87",1943,0.001,5.001,41.0018
"88",1944,0.158,5.158,41.2844
"89",1945,0.039,5.039,41.0702
"90",1946,-0.12,4.88,40.784
"91",1947,-0.105,4.895,40.811
"92",1948,-0.093,4.907,40.8326
"93",1949,-0.097,4.903,40.8254
"94",1950,-0.21,4.79,40.622
"95",1951,-0.093,4.907,40.8326
"96",1952,-0.025,4.975,40.955
"97",1953,0.045,5.045,41.081
"98",1954,-0.17,4.83,40.694
"99",1955,-0.189,4.811,40.6598
"100",1956,-0.272,4.728,40.5104
"101",1957,-0.006,4.994,40.9892
"102",1958,0.061,5.061,41.1098
"103",1959,0.014,5.014,41.0252
"104",1960,-0.028,4.972,40.9496
"105",1961,0.015,5.015,41.027
"106",1962,0.008,5.008,41.0144
"107",1963,0.039,5.039,41.0702
"108",1964,-0.233,4.767,40.5806
"109",1965,-0.166,4.834,40.7012
"110",1966,-0.084,4.916,40.8488
"111",1967,-0.093,4.907,40.8326
"112",1968,-0.105,4.895,40.811
"113",1969,0.04,5.04,41.072
"114",1970,-0.031,4.969,40.9442
"115",1971,-0.187,4.813,40.6634
"116",1972,-0.041,4.959,40.9262
"117",1973,0.093,5.093,41.1674
"118",1974,-0.171,4.829,40.6922
"119",1975,-0.123,4.877,40.7786
"120",1976,-0.2,4.8,40.64
"121",1977,0.057,5.057,41.1026
"122",1978,-0.036,4.964,40.9352
"123",1979,0.067,5.067,41.1206
"124",1980,0.102,5.102,41.1836
"125",1981,0.133,5.133,41.2394
"126",1982,0.019,5.019,41.0342
"127",1983,0.226,5.226,41.4068
"128",1984,0.031,5.031,41.0558
"129",1985,0.014,5.014,41.0252
"130",1986,0.096,5.096,41.1728
"131",1987,0.253,5.253,41.4554
"132",1988,0.24,5.24,41.432
"133",1989,0.163,5.163,41.2934
"134",1990,0.31,5.31,41.558
"135",1991,0.251,5.251,41.4518
"136",1992,0.116,5.116,41.2088
"137",1993,0.178,5.178,41.3204
"138",1994,0.232,5.232,41.4176
"139",1995,0.373,5.373,41.6714
"140",1996,0.227,5.227,41.4086
"141",1997,0.411,5.411,41.7398
"142",1998,0.58,5.58,42.044
"143",1999,0.34,5.34,41.612
"144",2000,0.291,5.291,41.5238
